"sep=	"
Shimmer_9D70_TimestampSync_Unix_CAL	Shimmer_9D70_EMG_CH2_24BIT_CAL	
ms	mV	
1.6994525390643218E12	1.3841342589220516	
1.6994525390652983E12	1.3795665557662513	
1.6994525390662747E12	1.3826918263465358	
1.699452539067251E12	1.3834130426342937	
1.6994525390682273E12	1.3817302046295252	
1.6994525390692036E12	1.38124939377102	
1.69945253907018E12	1.3813695964856463	
1.6994525390711565E12	1.3819706100587779	
1.6994525390721328E12	1.3814897992002726	
1.6994525390731091E12	1.3799271639101303	
1.6994525390740854E12	1.3769220960444724	
1.6994525390750618E12	1.3805281774832618	
1.699452539076038E12	1.3793261503369987	
1.6994525390770146E12	1.3802877720540092	
1.699452539077991E12	1.380167569339383	
1.6994525390789673E12	1.374878649895825	
1.6994525390799436E12	1.3769220960444724	
1.69945253908092E12	1.3782443259053618	
1.6994525390818962E12	1.3746382444665723	
1.6994525390828728E12	1.3735564200349355	
1.699452539083849E12	1.3749988526104513	
1.6994525390848254E12	1.3728352037471776	
1.6994525390858018E12	1.374157433608067	
1.699452539086778E12	1.3710321630277829	
1.6994525390877544E12	1.3716331766009144	
1.699452539088731E12	1.3727150010325513	
1.6994525390897073E12	1.3717533793155408	
1.6994525390906836E12	1.369589730452267	
1.69945253909166E12	1.3674260815889934	
1.6994525390926362E12	1.3656230408695986	
1.6994525390936125E12	1.3704311494546513	
1.699452539094589E12	1.3662240544427302	
1.6994525390955654E12	1.371873582030167	
1.6994525390965417E12	1.3749988526104513	
1.699452539097518E12	1.369589730452267	
1.6994525390984944E12	1.3688685141645092	
1.6994525390994707E12	1.3707917575985302	
1.6994525391004473E12	1.3746382444665723	
1.6994525391014236E12	1.3783645286199881	
1.6994525391024E12	1.3762008797567145	
1.6994525391033762E12	1.377162501473725	
1.6994525391043525E12	1.376801893329846	
1.6994525391053289E12	1.3742776363226934	
1.6994525391063054E12	1.3743978390373197	
1.6994525391072817E12	1.377523109617604	
1.699452539108258E12	1.376441285185967	
1.6994525391092344E12	1.3772827041883513	
1.6994525391102107E12	1.3774029069029776	
1.699452539111187E12	1.376441285185967	
1.6994525391121636E12	1.380167569339383	
1.69945253911314E12	1.3758402716128355	
1.6994525391141162E12	1.376801893329846	
1.6994525391150925E12	1.3776433123322303	
1.6994525391160688E12	1.377162501473725	
1.6994525391170452E12	1.3811291910563936	
1.6994525391180217E12	1.3747584471811987	
1.699452539118998E12	1.3802877720540092	
1.6994525391199744E12	1.3778837177614829	
1.6994525391209507E12	1.381610001914899	
1.699452539121927E12	1.3807685829125147	
1.6994525391229033E12	1.3800473666247566	
1.69945253912388E12	1.378725136763867	
1.6994525391248562E12	1.3784847313346145	
1.6994525391258325E12	1.379085744907746	
1.6994525391268088E12	1.376801893329846	
1.6994525391277852E12	1.3759604743274618	
1.6994525391287615E12	1.377162501473725	
1.699452539129738E12	1.380167569339383	
1.6994525391307144E12	1.3804079747686355	
1.6994525391316907E12	1.379446353051625	
1.699452539132667E12	1.3824514209172831	
1.6994525391336433E12	1.377523109617604	
1.6994525391346196E12	1.381610001914899	
1.6994525391355962E12	1.379806961195504	
1.6994525391365725E12	1.3804079747686355	
1.6994525391375488E12	1.3825716236319094	
1.6994525391385251E12	1.3817302046295252	
1.6994525391395015E12	1.3832928399196673	
1.6994525391404778E12	1.3817302046295252	
1.6994525391414543E12	1.3829322317757884	
1.6994525391424307E12	1.383893853492799	
1.699452539143407E12	1.3813695964856463	
1.6994525391443833E12	1.3799271639101303	
1.6994525391453596E12	1.3837736507781726	
1.699452539146336E12	1.3817302046295252	
1.6994525391473125E12	1.3788453394784934	
1.6994525391482888E12	1.3806483801978884	
1.6994525391492651E12	1.3810089883417673	
1.6994525391502415E12	1.3806483801978884	
1.6994525391512178E12	1.380167569339383	
1.699452539152194E12	1.381610001914899	
1.6994525391531707E12	1.3792059476223724	
1.699452539154147E12	1.3837736507781726	
1.6994525391551233E12	1.3860575023560726	
1.6994525391560996E12	1.383172637205041	
1.699452539157076E12	1.38124939377102	
1.6994525391580522E12	1.3818504073441515	
1.6994525391590288E12	1.3789655421931197	
1.6994525391600051E12	1.38353324534892	
1.6994525391609814E12	1.3786049340492408	
1.6994525391619578E12	1.3814897992002726	
1.699452539162934E12	1.3800473666247566	
1.6994525391639104E12	1.380888785627141	
1.699452539164887E12	1.380888785627141	
1.6994525391658633E12	1.380167569339383	
1.6994525391668396E12	1.378725136763867	
1.699452539167816E12	1.3782443259053618	
1.6994525391687922E12	1.3830524344904147	
1.6994525391697686E12	1.379806961195504	
1.699452539170745E12	1.3817302046295252	
1.6994525391717214E12	1.3829322317757884	
1.6994525391726978E12	1.3844948670659305	
1.699452539173674E12	1.380888785627141	
1.6994525391746504E12	1.3819706100587779	
1.6994525391756267E12	1.378725136763867	
1.6994525391766033E12	1.379446353051625	
1.6994525391775796E12	1.3811291910563936	
1.699452539178556E12	1.3813695964856463	
