"sep=	"
Shimmer_9D70_TimestampSync_Unix_CAL	Shimmer_9D70_EMG_CH2_24BIT_CAL	
ms	mV	
1.6994526025175789E12	2.9490534006420854	
1.6994526025185554E12	2.944846305630164	
1.699452602519532E12	2.8335385918861937	
1.6994526025205085E12	2.750598718794034	
1.699452602521485E12	2.969007051270054	
1.6994526025224617E12	3.0731026021364456	
1.6994526025234382E12	3.0825986165919246	
1.6994526025244148E12	3.1229867287063673	
1.699452602525391E12	3.113370511536262	
1.6994526025263677E12	3.0580772628081556	
1.6994526025273442E12	2.9145552215443318	
1.6994526025283208E12	2.857458932096831	
1.6994526025292974E12	2.8244031855745937	
1.699452602530274E12	2.832817375598436	
1.6994526025312505E12	2.8933995437701	
1.699452602532227E12	2.9544625228002697	
1.6994526025332036E12	2.995091040343965	
1.6994526025341802E12	3.0160063126889445	
1.6994526025351567E12	3.0178093534083392	
1.6994526025361333E12	2.9865566476054966	
1.6994526025371099E12	2.8721236632812417	
1.6994526025380864E12	2.8750085284322733	
1.699452602539063E12	2.7114126338258546	
1.6994526025400396E12	2.553586469521499	
1.699452602541016E12	2.571737079430073	
1.6994526025419927E12	2.6410940457694587	
1.6994526025429692E12	2.811421292394951	
1.6994526025439458E12	2.954222117371017	
1.6994526025449224E12	3.0526681406499714	
1.699452602545899E12	3.1192604445529515	
1.6994526025468755E12	3.1102452409559778	
1.699452602547852E12	3.116014971258041	
1.6994526025488286E12	3.1211836879869725	
1.6994526025498052E12	3.1295978780108147	
1.6994526025507817E12	3.125150377569641	
1.6994526025517583E12	3.035599355173034	
1.6994526025527349E12	2.9440048866277797	
1.6994526025537114E12	3.08993098218413	
1.699452602554688E12	3.088488549608614	
1.6994526025556646E12	2.9075834640960054	
1.699452602556641E12	2.790986830908477	
1.6994526025576177E12	2.8001222372200774	
1.6994526025585942E12	2.7813706137383716	
1.6994526025595708E12	2.7756008834363084	
1.6994526025605474E12	2.8490447420729885	
1.699452602561524E12	3.521338524977985	
1.6994526025625005E12	3.401135810351667	
1.699452602563477E12	3.2588157962341064	
1.6994526025644536E12	3.255930931083075	
1.6994526025654302E12	3.182126464302516	
1.6994526025664067E12	3.160369772955152	
1.6994526025673833E12	3.0712995614170504	
1.6994526025683599E12	2.9102279238177844	
1.6994526025693364E12	2.527141872303709	
1.699452602570313E12	2.366791450992201	
1.6994526025712896E12	2.335779150618611	
1.699452602572266E12	2.5783482287345207	
1.6994526025732427E12	2.671865940713796	
1.6994526025742192E12	2.7320875007415815	
1.6994526025751958E12	2.8031273050857353	
1.6994526025761724E12	2.920204749131769	
1.699452602577149E12	3.018410366981471	
1.6994526025781255E12	3.0806753731579035	
1.699452602579102E12	3.008794149811365	
1.6994526025800786E12	2.9541019146563907	
1.6994526025810552E12	2.922488600709669	
1.6994526025820317E12	2.917079478551485	
1.6994526025830083E12	3.0377630040363077	
1.6994526025839849E12	3.1429403793343362	
1.6994526025849614E12	3.1747940987103105	
1.699452602585938E12	3.206768020800911	
1.6994526025869146E12	3.1941467357651474	
1.699452602587891E12	3.1862133565998105	
1.6994526025888677E12	3.191382073328742	
